tournament_year,match_date,home_team,away_team,decision_type,beneficiary_team,against_team,description,source_url,resolution_source
2018,2018-06-16,France,Australia,penalty_awarded,France,Australia,"On-field review: penalty awarded to France for Risdon's challenge on Griezmann (first ever World Cup on-field review); Griezmann scored, Risdon booked.",https://refsix.com/news/2018/7/18/every-var-on-field-review-at-the-fifa-world-cup-2018,
2018,2018-06-16,Peru,Denmark,penalty_awarded,Peru,Denmark,Penalty awarded to Peru after video review for Poulsen's foul on Cueva; Cueva missed. Note: REFSIX's text reverses the teams; Wikipedia's match report confirms Peru were awarded the penalty.,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_C,
2018,2018-06-17,Costa Rica,Serbia,other,Serbia,,"First on-field review for a potential red card: Prijovic (Serbia) raised hand to opponent's face; referee judged no violent conduct, yellow card only.",https://refsix.com/news/2018/7/18/every-var-on-field-review-at-the-fifa-world-cup-2018,
2018,2018-06-18,Sweden,South Korea,penalty_awarded,Sweden,South Korea,VAR alerted referee to a missed penalty; Sweden awarded penalty for foul on Claesson.,https://refsix.com/news/2018/7/18/every-var-on-field-review-at-the-fifa-world-cup-2018,
2018,2018-06-19,Russia,Egypt,penalty_awarded,Egypt,Russia,Factual VAR decision (no on-field review): free kick on the edge of the box for foul on Salah upgraded to a penalty as the foul continued into the area.,https://refsix.com/news/2018/7/18/every-var-on-field-review-at-the-fifa-world-cup-2018,
2018,2018-06-21,Denmark,Australia,penalty_awarded,Australia,Denmark,On-field review: penalty awarded to Australia for handball by Poulsen.,https://refsix.com/news/2018/7/18/every-var-on-field-review-at-the-fifa-world-cup-2018,
2018,2018-06-21,France,Peru,other,,,"Mistaken identity correction: caution initially given to Flores (Peru) transferred to Aquino (Peru), who had fouled Fekir. No team advantage changed.",https://refsix.com/news/2018/7/18/every-var-on-field-review-at-the-fifa-world-cup-2018,
2018,2018-06-22,Brazil,Costa Rica,penalty_rescinded,Costa Rica,Brazil,Penalty awarded to Brazil (Neymar shirt pull claim) overturned after on-field review.,https://refsix.com/news/2018/7/18/every-var-on-field-review-at-the-fifa-world-cup-2018,
2018,2018-06-22,Nigeria,Iceland,penalty_awarded,Iceland,Nigeria,On-field review: penalty to Iceland for Ebuehi's challenge on Finnbogason; Sigurdsson missed.,https://refsix.com/news/2018/7/18/every-var-on-field-review-at-the-fifa-world-cup-2018,
2018,2018-06-25,Saudi Arabia,Egypt,other,Saudi Arabia,,First rejected on-field review: referee reviewed his penalty award to Saudi Arabia (push on Al-Muwallad) and stuck with the original decision; penalty stood.,https://refsix.com/news/2018/7/18/every-var-on-field-review-at-the-fifa-world-cup-2018,
2018,2018-06-25,Spain,Morocco,goal_awarded,Spain,Morocco,"Aspas's late equaliser, initially flagged offside, awarded after VAR determined the offside call was incorrect (factual decision, no on-field review).",https://refsix.com/news/2018/7/18/every-var-on-field-review-at-the-fifa-world-cup-2018,
2018,2018-06-25,Iran,Portugal,penalty_awarded,Portugal,Iran,On-field review: penalty to Portugal for Ezatolahi's challenge on Ronaldo (Ronaldo's kick saved).,https://refsix.com/news/2018/7/18/every-var-on-field-review-at-the-fifa-world-cup-2018,
2018,2018-06-25,Iran,Portugal,other,Portugal,,On-field review of potential red card for Ronaldo's arm on Pouraliganji; referee issued yellow card only.,https://refsix.com/news/2018/7/18/every-var-on-field-review-at-the-fifa-world-cup-2018,
2018,2018-06-25,Iran,Portugal,penalty_awarded,Iran,Portugal,On-field review: penalty to Iran for handball by Cedric Soares; Iran equalised from the spot.,https://refsix.com/news/2018/7/18/every-var-on-field-review-at-the-fifa-world-cup-2018,
2018,2018-06-26,Nigeria,Argentina,other,Argentina,Nigeria,On-field review of possible Rojo handball in his own area (Nigeria appeal); referee Cakir stuck with no penalty.,https://refsix.com/news/2018/7/18/every-var-on-field-review-at-the-fifa-world-cup-2018,
2018,2018-06-27,South Korea,Germany,goal_awarded,South Korea,Germany,"Kim Young-gwon's stoppage-time goal, flagged offside, awarded after review determined Kroos (Germany) played the ball.",https://refsix.com/news/2018/7/18/every-var-on-field-review-at-the-fifa-world-cup-2018,
2018,2018-06-27,Mexico,Sweden,other,Mexico,,On-field review of possible Hernandez handball (Sweden penalty appeal); referee Pitana stuck with no penalty.,https://refsix.com/news/2018/7/18/every-var-on-field-review-at-the-fifa-world-cup-2018,
2018,2018-06-27,Switzerland,Costa Rica,penalty_rescinded,Switzerland,Costa Rica,"Penalty awarded to Costa Rica overturned: Ruiz was offside when he received the ball (factual decision, no on-field review).",https://refsix.com/news/2018/7/18/every-var-on-field-review-at-the-fifa-world-cup-2018,
2018,2018-06-28,Senegal,Colombia,penalty_rescinded,Colombia,Senegal,Penalty awarded to Senegal (challenge on Mane) overturned after on-field review: Sanchez played the ball.,https://refsix.com/news/2018/7/18/every-var-on-field-review-at-the-fifa-world-cup-2018,
2018,2018-07-03,Sweden,Switzerland,penalty_rescinded,Switzerland,Sweden,R16: penalty to Sweden changed to a free kick after on-field review (Lang's foul on Olsson occurred outside the box); Lang's red card for DOGSO stood.,https://refsix.com/news/2018/7/18/every-var-on-field-review-at-the-fifa-world-cup-2018,
2018,2018-07-15,France,Croatia,penalty_awarded,France,Croatia,"Final: on-field review for Perisic handball after a corner; penalty awarded, Griezmann scored to make it 2-1.",https://refsix.com/news/2018/7/18/every-var-on-field-review-at-the-fifa-world-cup-2018,
