tournament_year,match_date,home_team,away_team,minute,review_subject,standing_decision,favoured_team,source_url
2018,2018-06-17,Costa Rica,Serbia,,"On-field review: possible red card (violent conduct) for Prijovic (SRB) raising a hand to an opponent's face","No red card - referee judged the incident not violent conduct; a caution (yellow) was issued",Serbia,https://refsix.com/news/2018/7/18/every-var-on-field-review-at-the-fifa-world-cup-2018
2018,2018-06-25,Saudi Arabia,Egypt,,"On-field review of the referee's own penalty award to Saudi Arabia (push on Al-Muwallad) - first rejected on-field review at a World Cup","Penalty award stood - referee Roldan stuck with his original decision",Saudi Arabia,https://refsix.com/news/2018/7/18/every-var-on-field-review-at-the-fifa-world-cup-2018
2018,2018-06-25,Iran,Portugal,,"On-field review: possible red card for Ronaldo's (POR) arm contact on Pouraliganji","No red card - contact judged not violent conduct; Ronaldo shown a yellow card",Portugal,https://refsix.com/news/2018/7/18/every-var-on-field-review-at-the-fifa-world-cup-2018
2018,2018-06-26,Nigeria,Argentina,,"On-field review: possible penalty to Nigeria for handball by Rojo (ARG) in his own area","No penalty - referee Cakir decided there was not enough evidence and stuck with his original decision",Argentina,https://refsix.com/news/2018/7/18/every-var-on-field-review-at-the-fifa-world-cup-2018
2018,2018-06-27,Mexico,Sweden,,"On-field review: possible penalty to Sweden for handball by Hernandez (MEX)","No penalty - referee Pitana decided not to overturn his original decision",Mexico,https://refsix.com/news/2018/7/18/every-var-on-field-review-at-the-fifa-world-cup-2018
2022,2022-11-22,Mexico,Poland,54,"VAR check after Ochoa saved Lewandowski's VAR-awarded penalty: goalkeeper position on the line and Krychowiak follow-up encroachment","Save stood - no retake (Ochoa had a foot on the line; no punishable encroachment)",Mexico,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed
2022,2022-11-22,Denmark,Tunisia,93,"Rejected on-field review: VAR advised a penalty to Denmark for handball by Meriah; at the monitor referee Ramos instead penalised an earlier foul by Jensen (DEN)","No penalty to Denmark - play restarted with a free kick to Tunisia",Tunisia,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed
2022,2022-11-23,Belgium,Canada,13,"VAR check: possible penalty to Canada for Vertonghen's challenge on Buchanan (assistant's offside flag was also wrong)","No penalty - Vertonghen got a toe on the ball before the contact",Belgium,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed
2022,2022-11-23,Belgium,Canada,45,"VAR check: possible penalty to Canada for Witsel's contact on Laryea shortly before half-time","No penalty - not judged a clear and obvious error",Belgium,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed
2022,2022-11-24,Portugal,Ghana,62,"VAR check of the on-field penalty to Portugal (Salisu challenge on Ronaldo)","Penalty stood - Ronaldo got to the ball first; Ronaldo scored",Portugal,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed
2022,2022-11-25,Qatar,Senegal,34,"VAR check: possible penalty to Qatar (Sarr challenge on Afif)","No penalty - no clear and obvious error by the referee",Senegal,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed
2022,2022-11-25,Netherlands,Ecuador,45+,"VAR check of the on-field offside decision disallowing Estupinan's equaliser (Porozo offside in front of goalkeeper Noppert)","Disallowed goal stood - VAR did not judge the flag a clear and obvious error; no monitor review",Netherlands,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed
2022,2022-11-26,Poland,Saudi Arabia,43,"VAR check after Szczesny saved Al-Dawsari's VAR-awarded penalty: goalkeeper position on the line","Save stood - no retake (VAR could not be certain Szczesny's boot was off the line)",Poland,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed
2022,2022-11-28,South Korea,Ghana,24,"VAR check: possible handball by Andre Ayew in the build-up to Salisu's goal","Goal stood - accidental handball before a goal is only an offence by the scorer",Ghana,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed
2022,2022-12-02,Ghana,Uruguay,58,"Rejected on-field review: possible penalty to Uruguay for Amartey's challenge on Nunez","No penalty - referee Siebert stuck with his original decision after the monitor review",Ghana,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed
2022,2022-12-10,England,France,17,"VAR check: possible foul by Upamecano on Saka in the build-up to Tchouameni's goal","Goal stood - not judged a clear and obvious error",France,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed
2022,2022-12-10,England,France,25,"Lengthy VAR check: possible penalty to England for Upamecano's foul on Kane on the edge of the area","No penalty - insufficient evidence the contact was on or inside the line",France,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed
2022,2022-12-10,Morocco,Portugal,45+,"VAR review: possible penalty to Portugal (Fernandes fall under Hakimi's challenge in first-half stoppage time)","No penalty - fall judged exaggerated",Morocco,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed
2022,2022-12-10,Morocco,Portugal,86,"VAR check: possible penalty to Portugal for handball by El Yamiq","No penalty - ball played onto his own arm in a deliberate play",Morocco,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed
2022,2022-12-14,France,Morocco,27,"VAR check: possible penalty to Morocco (Hernandez collision with Boufal)","No penalty - Hernandez's touch on the ball cited; Boufal's booking stood",France,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed
2022,2022-12-17,Croatia,Morocco,75,"Background VAR review: possible penalty to Croatia (Amrabat challenge on Gvardiol)","No penalty - Gvardiol judged to have simulated the fall",Morocco,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed
2022,2022-12-18,Argentina,France,21,"Final: VAR check of the on-field penalty to Argentina (Dembele contact on Di Maria)","Penalty stood - decision of the referee carries most weight; Messi scored",Argentina,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed
2022,2022-12-18,Argentina,France,62,"Final: VAR check of possible penalty to Argentina (Upamecano shoulder charge on Mac Allister)","No penalty - judged a fair charge",France,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed
2022,2022-12-18,Argentina,France,79,"Final: VAR check of possible red card for Otamendi (ARG) after conceding the 79' penalty on Kolo Muani (DOGSO question)","No red card - VAR did not intervene (no card issued at all)",Argentina,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed
2022,2022-12-18,Argentina,France,87,"Final: VAR check of possible penalty to France (Thuram fall over Fernandez; Thuram booked for simulation on field)","No penalty - on-field decision stood",Argentina,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed
2022,2022-12-18,Argentina,France,108,"Final: VAR check of possible offside against Lautaro Martinez in the build-up to Messi's 108' goal","Goal stood - Martinez onside (FIFA 3D animation shown)",Argentina,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed
2022,2022-12-18,Argentina,France,114,"Final: VAR check of the on-field penalty to France (Montiel handball)","Penalty stood - textbook handball; Mbappe scored",France,https://web.archive.org/web/20260716205424/https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed
2026,2026-06-11,Mexico,South Africa,49,"VAR check of the on-field red card to Sithole (RSA) for DOGSO on Gutierrez","Red card confirmed - checked and judged correct",Mexico,http://web.archive.org/web/20260716210709/https://www.espn.co.uk/football/story/_/id/49027532/world-cup-2026-var-review-red-card-penalty-handball-goal-line-technology
2026,2026-06-11,Mexico,South Africa,90+2,"VAR review of the on-field red card to Montes (MEX) for DOGSO on Mudau","Red card confirmed - reviewed and judged correct",South Africa,http://web.archive.org/web/20260716210709/https://www.espn.co.uk/football/story/_/id/49027532/world-cup-2026-var-review-red-card-penalty-handball-goal-line-technology
2026,2026-06-13,Qatar,Switzerland,14,"VAR offside checks on Embolo (build-up) and Freuler before the foul that gave Switzerland a penalty (semi-automated offside outage; VAR drew lines manually)","Onside confirmed on both checks - penalty stood; Embolo scored",Switzerland,http://web.archive.org/web/20260716210709/https://www.espn.co.uk/football/story/_/id/49027532/world-cup-2026-var-review-red-card-penalty-handball-goal-line-technology
2026,2026-06-13,Brazil,Morocco,82,"Unknown - feed logs only 'VAR Decision: Other Decision Cancelled' (logged between 80' substitutions and an 84' injury delay)","On-field decision confirmed - no change to any goal, penalty or card (subject unrecorded)",,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760419
2026,2026-06-14,Australia,Turkey,44,"Unknown - feed logs only 'VAR Decision: Other Decision Cancelled' (Australia led 1-0; nearest logged events: Guler shot 42' / Irankunda shot 45')","On-field decision confirmed - no change to any goal, penalty or card (subject unrecorded)",,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760421
2026,2026-06-15,Spain,Cape Verde,4,"Unknown - feed logs only 'VAR Decision: Other Decision Cancelled' (after a 2' Cucurella foul; match finished 0-0)","On-field decision confirmed - no change to any goal, penalty or card (subject unrecorded)",,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760428
2026,2026-06-15,Spain,Cape Verde,81,"Unknown - feed logs only 'VAR Decision: Other Decision Cancelled' (around an 81' Spain substitution)","On-field decision confirmed - no change to any goal, penalty or card (subject unrecorded)",,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760428
2026,2026-06-15,Belgium,Egypt,12,"Unknown - feed logs only 'VAR Decision: Other Decision Cancelled' (adjacent candidates point in different directions: Attia (EGY) yellow 13', Salah (EGY) foul 9', Ngoy (BEL) foul 7')","On-field decision confirmed - no change to any goal, penalty or card (subject unrecorded)",,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760426
2026,2026-06-16,France,Senegal,62,"Rejected on-field review: possible penalty to France (Mane lunge on Mbappe); feed logged 'VAR Decision: No Penalty France'","No penalty - referee Faghani stuck with his on-field decision at the monitor",Senegal,http://web.archive.org/web/20260716210709/https://www.espn.co.uk/football/story/_/id/49027532/world-cup-2026-var-review-red-card-penalty-handball-goal-line-technology
